Sommet1;Sommet2;Time
0128;0324;42
0324;0128;42
0129;0311;49
0311;0129;49
0131;0153;72
0153;0131;72
0131;0272;63
0272;0131;63
0132;0223;68
0223;0132;68
0132;0327;40
0327;0132;40
0133;0317;49
0317;0133;49
0134;0270;47
0270;0134;47
0134;0374;53
0374;0134;53
0135;0331;65
0331;0135;65
0136;0290;73
0290;0136;73
0137;0359;54
0359;0137;54
0138;0158;57
0158;0138;57
0139;0355;46
0355;0139;46
0140;0313;47
0313;0140;47
0141;0291;37
0291;0141;37
0141;0197;49
0197;0141;49
0142;0339;27
0339;0142;27
0143;0340;29
0340;0143;29
0143;0160;44
0160;0143;44
0144;0170;46
0170;0144;46
0145;0373;55
0146;0283;33
0283;0146;33
0146;0247;50
0247;0146;50
0147;0159;44
0159;0147;44
0147;0191;49
0191;0147;49
0149;0241;57
0241;0149;57
0149;0345;79
0345;0149;79
0151;0339;93
0339;0151;93
0153;0245;64
0245;0153;64
0154;0349;33
0349;0154;33
0156;0371;46
0371;0156;46
0157;0306;36
0306;0157;36
0157;0291;49
0291;0157;49
0158;0371;66
0371;0158;66
0160;0226;40
0226;0160;40
0161;0364;28
0364;0161;28
0161;0184;39
0184;0161;39
0164;0244;60
0244;0164;60
0165;0375;33
0375;0165;33
0166;0258;38
0258;0166;38
0166;0252;37
0252;0166;37
0167;0265;31
0265;0167;31
0168;0326;49
0326;0168;49
0168;0245;28
0245;0168;28
0169;0341;54
0341;0169;54
0171;0264;49
0264;0171;49
0172;0240;35
0240;0172;35
0173;0227;34
0227;0173;34
0174;0221;31
0221;0174;31
0174;0346;72
0346;0174;72
0175;0325;144
0325;0175;144
0176;0281;71
0281;0176;71
0177;0225;88
0225;0177;88
0179;0237;37
0237;0179;37
0180;0267;91
0267;0180;91
0183;0278;51
0278;0183;51
0184;0260;31
0260;0184;31
0184;0352;36
0352;0184;36
0185;0186;26
0186;0185;26
0186;0372;33
0372;0186;33
0187;0188;34
0188;0187;34
0187;0273;46
0273;0187;46
0189;0367;49
0367;0189;49
0189;0370;35
0370;0189;35
0190;0269;27
0269;0190;27
0191;0194;67
0194;0191;67
0192;0337;36
0337;0192;36
0193;0271;38
0271;0193;38
0194;0276;67
0276;0194;67
0196;0259;47
0197;0199;28
0199;0197;28
0198;0052;42
0200;0257;51
0257;0200;51
0201;0145;46
0202;0326;112
0326;0202;112
0203;0317;53
0317;0203;53
0203;0332;40
0332;0203;40
0204;0366;51
0366;0204;51
0205;0296;38
0296;0205;38
0206;0218;45
0218;0206;45
0208;0361;42
0361;0208;42
0208;0333;48
0333;0208;48
0209;0232;54
0232;0209;54
0211;0284;49
0284;0211;49
0212;0275;86
0275;0212;86
0212;0295;64
0295;0212;64
0214;0236;42
0236;0214;42
0215;0307;60
0307;0215;60
0216;0243;55
0243;0216;55
0217;0353;29
0353;0217;29
0217;0322;37
0322;0217;37
0218;0294;38
0294;0218;38
0219;0297;50
0297;0219;50
0219;0313;81
0313;0219;81
0220;0316;35
0316;0220;35
0220;0315;80
0315;0220;80
0222;0323;42
0323;0222;42
0222;0330;31
0330;0222;31
0223;0289;43
0289;0223;43
0224;0282;80
