ID;Nom;Line;IsTerminus;Color;NumberOfLine
0255;Pont-Neuf;7;False;f27aa0;1
0256;Porte Dauphine;2;True;006db8;1
0257;Porte Dorée;8;False;c4a2cb;1
0258;Porte Maillot;1;False;fecd08;1
0259;Porte d'Auteuil;10;False;f68f4a;1
0260;Porte d'Italie;7;False;f27aa0;1
0261;Porte d'Ivry;7;False;f27aa0;1
0262;Porte d'Orléans;4;True;ba499b;1
0263;Porte de Bagnolet;3;False;999738;1
0264;Porte de Champerret;3;False;999738;1
0265;Porte de Charenton;8;False;c4a2cb;1
0266;Porte de Choisy;7;False;f27aa0;1
0267;Porte de Clichy;13;False;84d2dd;1
0268;Porte de Clignancourt;4;True;ba499b;1
0269;Porte de Montreuil;9;False;cdc92a;1
0270;Porte de Pantin;5;False;f68f4a;1
0271;Porte de Saint-Cloud;9;False;cdc92a;1
0272;Porte de Saint-Ouen;13;False;84d2dd;1
0273;Porte de Vanves;13;False;84d2dd;1
0274;Porte de Versailles;12;False;008b59;1
0275;Porte de Vincennes;1;False;fecd08;1
0276;Porte de la Chapelle;12;True;008b59;1
0277;Porte de la Villette;7;False;f27aa0;1
0278;Porte des Lilas;11;False;8d6538;2
0279;Porte des Lilas;3bis;True;86d3de;2
0280;Pré-Saint-Gervais;7bis;True;75c695;1
0281;Pyramides;14;False;652d91;2
0282;Pyramides;7;False;f27aa0;2
0283;Pyrénées;11;False;8d6538;1
0284;Père Lachaise;2;False;006db8;2
0285;Père Lachaise;3;False;999738;2
0286;Péreire;3;False;999738;1
0287;Quai de la Gare;6;False;75c695;1
0288;Quai de la Rapée;5;False;f68f4a;1
0289;Quatre Septembre;3;False;999738;1
0290;Rambuteau;11;False;8d6538;1
0291;Ranelagh;9;False;cdc92a;1
0292;Raspail;4;False;ba499b;2
0293;Raspail;6;False;75c695;2
0294;Rennes;12;False;008b59;1
0295;Reuilly Diderot;1;False;fecd08;2
0296;Reuilly Diderot;8;False;c4a2cb;2
0297;Richard Lenoir;5;False;f68f4a;1
0298;Richelieu Drouot;8;False;c4a2cb;2
0299;Richelieu Drouot;9;False;cdc92a;2
0300;Riquet;7;False;f27aa0;1
0301;Robespierre;9;False;cdc92a;1
0302;Rome;2;False;006db8;1
0303;Rue Montmartre, Grands Boulevards;8;False;c4a2cb;2
0304;Rue Montmartre, Grands Boulevards;9;False;cdc92a;2
0305;Rue Saint-Maur;3;False;999738;1
0306;Rue de la Pompe;9;False;cdc92a;1
0307;Rue des Boulets;9;False;cdc92a;1
0308;Rue du Bac;12;False;008b59;1
0309;Réaumur Sébastopol;3;False;999738;2
0310;Réaumur Sébastopol;4;False;ba499b;2
